"","'Page number","'Layout","'Text","'Reading Order","'Confidence score % (Layout)","file"
"75","'5","'Text 14","'a new SLBM which, with its estimated range of some 3,000 miles, would be comparable to the American Polaris vehicle. Meanwhile, the United States has begun to deploy the more advanced Poseidon SLBM, with at least 10 independently-targeted re-entry vehicles. The first submarine equipped with Poseidon became operational during early 1971; the completion of the planned programme for converting 31 boats would raise the total number of nuclear warheads deliverable by the American SLBM force from about 1,500 (capable of attacking 656 separate targets) to over 5,400 (capable of attacking some 5,000 separate targets). For the longer term, development work continues on an Undersea Long-Range Missile System (ULMS), which might replace the Poseidon submarines themselves at the end of the 1970s.","'28","'98.24218750","04597227108459807/layout.csv"
"76","'5","'Text 15","'In contrast with the quantitative reinforcement of their offensive missile forces, the Soviet Union and the United States have continued to allow their strategic bomber forces to dwindle. The number of American B-52 bombers in service has dropped to well below 500, while the Soviet force of Mya-4 Bison and Tu-20 Bear bombers is now estimated at 140 aircraft (with an additional 50 Bison tankers). On the American side, however, the effectiveness of the B-52 force is likely to be greatly increased by the introduction of the new Short-Range Attack Missile (SRAM), which has been ordered into production and which is expected to have an operational range of 60-75 miles. Each B-52 could carry up to 24 SRAM, while the proposed B-1 bomber, prototype development of which is under way, would, if produced, be able to carry some 32 SRAM when it became opera- tional in about 1978. The total number of nuclear weapons deliverable by the American strategic bomber force is thus likely to rise sharply during the next five years. The Soviet Union has shown no apparent interest in matching this particular effort. The prototype of a new variable-geometry ('swing-wing') bomber has been observed, but it is not clear that, even if produced, it would have an effective inter-continental capability, and there have been no reports of any attempt to develop air-to-surface missiles for it (or for existing Soviet bombers) of a type comparable to SRAM.","'29","'97.65625000","04597227108459807/layout.csv"
"77","'5","'Text 16","'The Soviet Union, with some 10,000 anti-aircraft missiles (SAM) and 3,000 interceptor aircraft, has devoted a great deal more effort to territorial air defence than the United States, although the latter has continued development of its Over-the-Horizon-B (OTH-B) radar system, designed to detect attacking aircraft at great range, and of an Airborne Warning and Control System (AWACS), designed to track aircraft flying below the coverage of other radar systems. Both countries have continued to devote efforts to developing means of defence against ballistic missiles. The Soviet Union, which completed deployment around Moscow of 64 ABM launchers for its Galosh missile in 1970, has been testing an improved ABM missile and may be ready to begin its deployment. It does not appear, however, to have modified the basic orientation of its ABM system, whose missiles and radars are deployed in a manner which suggests a strong bias towards defence against an attack by American ICBM. The United States has begun work on three sites for its Safeguard ABM system, each containing long-range Spartan and short-range Sprint missiles for the protection of a part of the Minuteman force against ICBM or SLBM attack, the first of which could be opera- tional at the end of 1974. Funds have also been requested for a fourth site, either at an additional Minuteman field or at Washington, D.C., as well as for the continuation of development work on an alternative system, known as Hard Site,* for the more economical and less vulnerable defence of Minuteman. On both sides, however, continued deployment of ABM launchers now depends heavily upon the outcome of the SALT negotiations.","'30","'96.28906250","04597227108459807/layout.csv"
"78","'5","'Text 17","'The manpower strength of American conventional forces has declined from the 1968 peak of over 3.5 million to the 'pre-Vietnam' level of 2.7 million and is well on the way towards the 1972 target of 2.5 million. At the same time, withdrawals from Vietnam and South Korea and the re- deployment of units from Japan have marked the further contraction of American military deploy- ment in Asia. No parallel manpower reductions or deployment changes have been apparent in the Soviet case. As far as navies are concerned the American tendency to reduce the active ship strength, while improving its quality, has been generally followed by the Soviet Union. Both navies have reduced overall numbers while continuing with modernization (see p. 82 for some comparative figures of new construction).","'31","'95.01953125","04597227108459807/layout.csv"
"79","'5","'Text 18","'This would replace the Safeguard Missile Site Radars (MSR) with a large number of smaller and cheaper radars.","'32","'43.67675781","04597227108459807/layout.csv"
"80","'6","'Page number 2","'3","'33","'94.09179688","04597227108459807/layout.csv"
"81","'6","'Title 3","'THE UNITED STATES","'34","'63.86718750","04597227108459807/layout.csv"
"82","'6","'Text 19","'Population: 208,100,000. Military service: selective service for two years.* Total armed forces: 2,699,000. Estimated GNP 1970: $977 billion. Defence budget 1971-72: $78,743 million.t","'35","'83.83789063","04597227108459807/layout.csv"
"83","'6","'Section header 1","'Strategic Forces","'36","'66.89453125","04597227108459807/layout.csv"
"84","'6","'Section header 2","'(A) OFFENSIVE","'37","'33.10546875","04597227108459807/layout.csv"
"85","'6","'List 1",NA,"'38","'36.93847656","04597227108459807/layout.csv"
"86","'6","'Text 20 - Part of List 1","'ICBM: 1,054 (Strategic Air Command - SAC). 400 Minuteman 1 500 Minuteman 2. 100 Minuteman 3. 54 Titan 2. SLBM: (US Navy) 656 in 41 SSBN: 4 with Poseidon (4 more are converting). 27 with Polaris A-3. 10 with Polaris A-2. Aircraft (SAC) Bombers: 520 70 FB-111 in 4 squadrons. 150 B-52 C/F in 10 squadrons. 210 B-52 G/H in 14 squadrons. 90 B-52 in active storage. Tankers: 420 KC-135. Strategic Reconnaissance: SR-71; 2 squadrons.","'39","'89.64843750","04597227108459807/layout.csv"
"87","'6","'Section header 3 - Part of List 1","'(B) DEFENSIVE","'40","'43.77441406","04597227108459807/layout.csv"
"88","'6","'Text 21 - Part of List 1","'North American Air Defense Command (NORAD), with its headquarters at Colorado Springs, is a joint Canadian-American organization. Ameri- can forces under NORAD are Aerospace Defense Command (ADC) and Army Defense Command (ARADCOM); combined strength 80,000.","'41","'92.87109375","04597227108459807/layout.csv"
"89","'6","'Text 22 - Part of List 1","'Aircraft!","'42","'50.29296875","04597227108459807/layout.csv"
"90","'6","'Text 23 - Part of List 1","'Interceptors: 522.","'43","'66.55273438","04597227108459807/layout.csv"
"91","'6","'Text 24 - Part of List 1","'(i) regular: 11 squadrons with F-106.","'44","'60.40039063","04597227108459807/layout.csv"
"92","'6","'Text 25 - Part of List 1","'(ii) National Guard: 5 squadrons with F-101;","'45","'46.38671875","04597227108459807/layout.csv"
"93","'6","'Text 26 - Part of List 1","'12 squadrons with F-102; 1 squadron with F-104.","'46","'54.19921875","04597227108459807/layout.csv"
"94","'6","'Text 27 - Part of List 1","'AEW aircraft: 3 squadrons with EC-121. SAM","'47","'25.31738281","04597227108459807/layout.csv"
"95","'6","'Text 28 - Part of List 1","'(i) regular: 2 battalions with HAWK; 5 squadrons with 170 Bonmarc B.","'48","'57.95898438","04597227108459807/layout.csv"
"96","'6","'Text 29","'A reform of the selective service system is being worked on. 1 July 1973 has been set as the target date for reaching zero draft calls. t New obligational authority for FY 1971-72; expected outlay is $76,000 million. + Characteristics of missiles and aircraft are given in Table 2 on p. 57. § 2 squadrons of B-52, and about 100 KC-135 are based in South-East Asia. II Excluding Canadian.","'49","'45.04394531","04597227108459807/layout.csv"
"97","'6","'Text 30","'(ii) National Guard: 27 batteries with Nike- Hercules. Radar and tracking stations - a chain including: the Ballistic Missile Early Warning System (BMEWS),- with stations in Alaska, Greenland and England. the 'forward scatter' Over-the-Horizon radar- system."" the Pinetree line. the 33 radar Distant Early Warning Line (DEW). Surveillance and tracking of objects in North American air space is co-ordinated by the Semi- Automatic Ground Environment (SAGE) Sys- tem. Fourteen locations are combined with Back-Up Interceptor Control (BUIC) stations. A system (474N) of seven radar stations on the East, West and Gulf Coasts of the United States is designed specifically for the detection of submarine-launched missiles.","'50","'64.69726563","04597227108459807/layout.csv"
"98","'6","'Text 31","'Army: 1,107,000.","'51","'45.33691406","04597227108459807/layout.csv"
"99","'6","'List 2",NA,"'52","'50.87890625","04597227108459807/layout.csv"
"100","'6","'Text 32 - Part of List 2","'3 armoured divisions.","'53","'92.82226563","04597227108459807/layout.csv"
"101","'6","'Text 33 - Part of List 2","'1 cavalry division.","'54","'90.38085938","04597227108459807/layout.csv"
"102","'6","'Text 34 - Part of List 2","'4 infantry divisions (mechanized)","'55","'93.89648438","04597227108459807/layout.csv"
"103","'6","'Text 35 - Part of List 2","'2 infantry divisions","'56","'89.45312500","04597227108459807/layout.csv"
"104","'6","'Text 36 - Part of List 2","'2 airborne divisions.","'57","'93.84765625","04597227108459807/layout.csv"
"105","'6","'Text 37 - Part of List 2","'1 cavalry brigade.","'58","'90.33203125","04597227108459807/layout.csv"
"106","'6","'Text 38 - Part of List 2","'3 independent infantry brigades.","'59","'94.23828125","04597227108459807/layout.csv"
"107","'6","'Text 39 - Part of List 2","'1 airborne brigade.","'60","'90.96679688","04597227108459807/layout.csv"
"108","'6","'Text 40 - Part of List 2","'5 armoured cavalry regiments.","'61","'92.62695313","04597227108459807/layout.csv"
"109","'6","'Text 41 - Part of List 2","'5 special forces groups.","'62","'88.03710938","04597227108459807/layout.csv"
"110","'6","'Text 42 - Part of List 2","'30 SSM batteries.","'63","'75.92773438","04597227108459807/layout.csv"
"111","'6","'Text 43","'About 200 independent aviation units with 11,600 aircraft, incl 9,000 helicopters.","'64","'79.88281250","04597227108459807/layout.csv"
"112","'6","'Text 44","'M-48 and M-60 med tanks; M-60 AIE2 med and M-551 Sheridan It tanks with Shillelagh; M-107 175mm SP guns, M-109 155mm and M-110 203mm SP howitzers; Honest John, Sergeant and Pershing SSM; HAWK and Nike-Hercules SAM; the Chaparral| Vulcan air defence system; and the TOW ATGW system.","'65","'87.64648438","04597227108459807/layout.csv"
"113","'6","'Section header 4","'RESERVES:","'66","'45.60546875","04597227108459807/layout.csv"
"114","'6","'List 3",NA,"'67","'59.91210938","04597227108459807/layout.csv"
"115","'6","'Text 45 - Part of List 3","'(i) Army National Guard: 400,000 men capable, in five weeks from mobilization, of providing 8 full divisions and some smaller units to round out regular formations, and 36 SAM batteries with Nike-Hercules.","'68","'93.31054688","04597227108459807/layout.csv"
"116","'6","'Text 46 - Part of List 3","'(ii) Army Reserves: average paid training strength 260,000, organized in 21 brigades. In addition 48,000 undergo short tours of active duty.","'69","'90.42968750","04597227108459807/layout.csv"
"117","'6","'Text 47","'IT This radar-system can detect ICBM regardless of the direction or trajectory of their launch.","'70","'54.98046875","04597227108459807/layout.csv"
"118","'7","'Page number 3","'4","'71","'73.48632813","04597227108459807/layout.csv"
"119","'7","'Text 48","'Marine Corps: 212,000.","'72","'64.16015625","04597227108459807/layout.csv"
"120","'7","'List 4",NA,"'73","'65.03906250","04597227108459807/layout.csv"
"121","'7","'Text 49 - Part of List 4","'3 divisions (19,000 men), each supported by: 1 tank battalion and 1 SAM battalion with 24 HAWK.","'74","'93.65234375","04597227108459807/layout.csv"
"122","'7","'Text 50 - Part of List 4","'M-48 and M-103 tanks; 105mm SP howitzers; 105mm and 155mm howitzers; 175mm guns.","'75","'89.30664063","04597227108459807/layout.csv"
"123","'7","'Text 51 - Part of List 4","'3 Air Wings; 540 combat aircraft.","'76","'85.64453125","04597227108459807/layout.csv"
"124","'7","'Text 52 - Part of List 4","'14 fighter squadrons with F-4 (with Sparrow and Sidewinder AAM).","'77","'95.45898438","04597227108459807/layout.csv"
"125","'7","'Text 53 - Part of List 4","'12 attack squadrons, with A-6A and A-4.","'78","'89.55078125","04597227108459807/layout.csv"
"126","'7","'Text 54 - Part of List 4","'1 close-support squadron with AV-8A Harrier.","'79","'94.62890625","04597227108459807/layout.csv"
"127","'7","'Text 55 - Part of List 4","'3 recce squadrons with RF-4B and RF-8A.","'80","'93.16406250","04597227108459807/layout.csv"
"128","'7","'Text 56 - Part of List 4","'45 AH-1 Cobra gunship helicopters.","'81","'91.11328125","04597227108459807/layout.csv"
"129","'7","'Text 57 - Part of List 4","'6 heavy helicopter squadrons with CH-53A.","'82","'86.81640625","04597227108459807/layout.csv"
"130","'7","'Text 58 - Part of List 4","'9 medium helicopter squadrons with CH-46A.","'83","'87.50000000","04597227108459807/layout.csv"
"131","'7","'Text 59 - Part of List 4","'3 assault transport squadrons with C-130.","'84","'85.64453125","04597227108459807/layout.csv"
"132","'7","'Text 60","'RESERVES: Average paid training strength 49,500, plus paid training tours for a further 560. They form a reserve division and an associated air wing, which includes 4 squadrons with F-8, 5 squadrons with A-4, 2 squadrons with CH-53 and 3 squadrons with CH-46.","'85","'94.67773438","04597227108459807/layout.csv"
"133","'7","'Text 61","'DEPLOYMENT: Ground forces, Army and Marines, were deployed as -follows at the beginning of July 1971:","'86","'94.04296875","04597227108459807/layout.csv"
"134","'7","'List 5",NA,"'87","'86.13281250","04597227108459807/layout.csv"
"135","'7","'Text 62 - Part of List 5","'(i) Strategic Reserve - 1 armd div; 1 cav div; 1 airborne div; 1 mech inf div; 2 marine divs; 1 marine bde; 1 armd cav regt.","'88","'95.06835938","04597227108459807/layout.csv"
"136","'7","'Text 63 - Part of List 5","'(ii) To reinforce 7th Army in Europe - 1 mech inf div (less 1 bde)* 1 armd cav regt; 1 Special Forces gp.","'89","'96.48437500","04597227108459807/layout.csv"
"137","'7","'Text 64 - Part of List 5","'(iii) Other - 1 inf bde; 1 airborne bde; 1 armd cav regt; 2 Special Forces gps.","'90","'92.87109375","04597227108459807/layout.csv"
"138","'7","'Text 65 - Part of List 5","'Hawaii - 1 inf bde; 1 marine div (less 1 bde). Germany","'91","'92.91992188","04597227108459807/layout.csv"
